City,State,Country ,Item Description,Disposal Category,Disposal Instructions
Angers,Maine-et-Loire,France,otherpaper,Other Paper,"Your waste is called ""biodegradable"": its decomposition can be used to produce a useful amendment to the garden. If you do not tell it the way composter, orient it toward the black bag with household waste."
Angers,Maine-et-Loire,France,electronic,Electronics,"Your equipment can still be happy ... Some associations such as Emmaus, Envy, would be delighted to welcome him. Otherwise, many items are recyclable; please report it to the store or to the recycling center."
Bangalore,Karnataka,India,paper,Paper,"containers need to be emptied of food scraps, before placing in the bin"
Bangalore,Karnataka,India,cardboard,Cardboard,"containers need to be emptied of food scraps, before placing in the bin"
Bangalore,Karnataka,India,otherplastic,Other Plastic,"containers need to be emptied food scaps, liquids before placing in the bin"
Bangalore,Karnataka,India,glass,Glass,"containers need to be emptied of food scraps, liquids before placing in the bin"
Bangalore,Karnataka,India,aluminumfoil,Aluminum Foil,"containers need to be emptied of food scraps, liquids before placing in the bin"
Bangalore,Karnataka,India,organicwaste,Organic Waste,"do not use a plastic liner ; In-house or community composting if feasible, if not send to compost centre"
Bangalore,Karnataka,India,electronic,Electronics,collect for a month and send to e-waste recycler
Bangalore,Karnataka,India,otherhazardous,Other Hazardous ,"Wrap in paper, plastic liner not to be used"
Bangalore,Karnataka,India,constructionmaterial,Construction Material,"Broken glass wrapped in news paper , heavy debris need to be moved seperately to approved landfills"
Mountain View,California,USA,cardboard,Cardboard,"flatten put small pieces in cart and large pieces tie or bundled in sizes outside cart and clean, no food stain/residue or plastic ."
Mountain View,California,USA,paper,Paper,"envelopes with plastic windows ok but no laminated postcards that cannot be torn by hand ,no padded clasps,no plastic wrap and no hardbacks"
Mountain View,California,USA,otherplastic,Other Plastic ,"food, peanut butter, syrup, catsup, drink or detergent, shampoo, prescription"
Mountain View,California,USA,glass,Glass,no corks/metal or plastic wrapper
Vancouver,British Colombia,Canada,aluminumfoil,Aluminum Foil,"Recyling Bin;Foil wrap and take-out containers
including pie plates, food trays, etc.
• Empty and rinse containers"
Vancouver,British Colombia,Canada,otherplastic,Other Plastic,"Recycling Bin;For milk, cooking oil, laundry detergent,; BUT Jugs for flavoured tea, juice,
other beverages (return for
deposit refund) and not recyclable
fabric softener, cleaning solutions,
cleaning products, body care products,
windshield washer fluid, etc.
• Empty and rinse jugs
• Labels OK"
Vancouver,British Colombia,Canada,glass,Glass,Recycle Bin; Clear or coloured. Check with your recycling collector for instructions • Empty and rinse bottles and jars. Labels OK • Include lids with container recycling
Vancouver,British Colombia,Canada,organicwaste,Organic Waste,organicwaste bin
Vancouver,British Colombia,Canada,electronic,Electronics,Large appliances can be dropped off for recycling at the collection sites listed below. ( https://www.marrbc.ca/collection-site-locator)
Toronto,Ontario,Canada,glass,Cardboard,Place this item in the Blue Bin.
Toronto,Ontario,Canada,cardboard,Paper,"Place this empty item in your Blue Bin,
though if it is soiled with food, please place it in your Green Bin."
Toronto,Ontario,Canada,otherpaper,otherpaper,Items Accepted in the Garbage Bin
Toronto,Ontario,Canada,flexibleplastic,Felxible Plastic,Items Accepted in the Garbage Bin
Toronto,Ontario,Canada,otherplastic,Other Plastic,Items Accepted in the Garbage Bin
Toronto,Ontario,Canada,flexibleplastic,Felxible Plastic,Items Accepted in the Garbage Bin
Toronto,Ontario,Canada,aluminiumfoil,Aluminum Foil,Items Accepted in the Garbage Bin
Toronto,Ontario,Canada,otherhazardous,Other Hazardous ,Items Accepted in the Garbage Bin
Toronto,Ontario,Canada,organicwaste,Organic Waste,Goes in the Green Bin
Toronto,Ontario,Canada,otherpaper,Other Paper,Goes in the Green Bin
